y,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
11,0.230430298,0.230470612,0.230591578,0.230793259,0.231075753,0.231439163,0.231883585,0.232409044,0.233015468,0.233702589,0.234469872,0.235316388,0.236240661,0.237240475,0.238312639,0.23945268,0.240654485,0.241909864,0.243208053,0.244535167,0.245873634,0.247201685,0.248492976,0.249716474,0.250836731,0.251814652,0.252608813,0.253177295,0.253479864,0.253480325,0.253148668,0.252462882,0.251410074,0.249986889,0.24819914,0.246060772,0.243592315,0.240819076,0.237769299,0.234472473,0.230957963,0.227253972,0.223386857,0.219380736,0.215257332,0.211035967,0.206733685,0.202365403,0.197944132,0.193481159,0.188986282,0.184467958,0.17993351,0.175389256,0.170840657,0.166292431,0.161748655,0.157212854,0.152688078,0.14817697,0.143681821,0.13920462,0.134747099,0.130310767,0.125896941,0.121506782,0.117141307,0.112801421,0.10848793,0.104201559,0.099942955,0.095712764,0.091511499,0.087339732,0.083197957,0.079086681,0.075006401,0.070957621,0.066940856,0.062956645,0.059005535,0.055088168,0.051205147,0.047357178,0.043545009,0.039769486,0.036031487,0.032332011,0.028672148,0.025053107,0.021476217,0.017942956,0.014454961,0.01101405,0.007622247,0.004281801,0.000995222,-0.00223469,-0.005404809,-0.008511639,-0.011551267
12,0.227830469,0.227866962,0.227976426,0.228158816,0.228414028,0.228741904,0.229142173,0.229614431,0.230158068,0.230772203,0.231455589,0.232206492,0.233022552,0.2339006,0.234836442,0.23582461,0.236858013,0.237927688,0.239022329,0.240127947,0.241227498,0.242300589,0.24332333,0.244268394,0.245105388,0.245801556,0.246322865,0.246635404,0.246706994,0.246508893,0.246017319,0.245214732,0.244090666,0.242641996,0.240872736,0.23879331,0.236419488,0.233771089,0.230870649,0.22774214,0.224409895,0.220897736,0.217228357,0.213422913,0.209500806,0.205479593,0.201375004,0.19720103,0.192970041,0.18869292,0.184379226,0.18003732,0.175674518,0.171297208,0.166910969,0.16252067,0.158130569,0.153744361,0.149365316,0.144996274,0.14063972,0.136297847,0.13197258,0.127665616,0.123378456,0.119112438,0.114868746,0.110648452,0.106452518,0.10228182,0.098137176,0.094019284,0.089928911,0.085866675,0.081833243,0.07782922,0.073855227,0.069911887,0.065999827,0.062119693,0.05827216,0.054457933,0.050677759,0.046932436,0.043222826,0.039549847,0.035914504,0.032317886,0.028761184,0.0252457,0.021772863,0.01834424,0.014961564,0.011626734,0.008341856,0.005109253,0.001931496,-0.001188564,-0.00424777,-0.00724262,-0.010169226
13,0.225084653,0.225117346,0.225215374,0.225378589,0.225606727,0.225899389,0.226256005,0.226675795,0.227157708,0.227700352,0.228301905,0.228960001,0.229671603,0.230432837,0.23123881,0.232083392,0.232958974,0.233856207,0.234763724,0.235667888,0.236552563,0.237398975,0.238185696,0.238888804,0.239482263,0.239938552,0.24022954,0.240327564,0.240206632,0.239843664,0.239219606,0.238320341,0.23713729,0.235667629,0.233914142,0.231884731,0.229591651,0.227050589,0.224279669,0.221298497,0.218127301,0.214786222,0.211294772,0.207671445,0.203933474,0.200096697,0.196175517,0.192182923,0.188130553,0.184028778,0.17988681,0.175712806,0.171513975,0.167296678,0.163066527,0.158828468,0.154586859,0.150345547,0.146107924,0.141876988,0.13765539,0.13344548,0.129249346,0.125068844,0.120905634,0.116761206,0.112636896,0.10853392,0.10445338,0.100396289,0.096363586,0.092356137,0.088374781,0.084420289,0.080493422,0.076594913,0.072725493,0.068885886,0.065076825,0.061299059,0.05755336,0.053840532,0.050161419,0.04651691,0.042907961,0.039335581,0.035800861,0.032304979,0.02884921,0.025434937,0.022063667,0.018737045,0.015456867,0.012225102,0.009043907,0.005915651,0.002842937,-0.000171372,-0.003124125,-0.006011854,-0.008830745
14,0.222208032,0.222236987,0.222323773,0.222468158,0.222669738,0.222927914,0.223241871,0.223610516,0.224032448,0.224505863,0.2250285,0.225597511,0.226209371,0.22685972,0.227543221,0.228253377,0.228982346,0.229720747,0.23045747,0.231179511,0.231871849,0.232517404,0.233097097,0.233590052,0.233973962,0.234225627,0.234321655,0.234239308,0.233957395,0.233457208,0.232723314,0.231744251,0.230512936,0.229026854,0.227287951,0.225302291,0.223079513,0.220632153,0.217974912,0.215123916,0.212096053,0.208908387,0.205577694,0.202120113,0.198550897,0.194884266,0.191133325,0.187310044,0.183425282,0.17948883,0.175509482,0.171495108,0.167452732,0.163388616,0.159308333,0.155216841,0.151118546,0.147017371,0.142916806,0.138819959,0.134729601,0.130648211,0.126578006,0.122520976,0.118478916,0.114453443,0.110446026,0.106458007,0.102490616,0.098544983,0.094622169,0.090723157,0.086848889,0.083000254,0.079178115,0.075383309,0.071616667,0.06787901,0.064171168,0.060493981,0.056848314,0.053235057,0.049655141,0.04610954,0.042599289,0.039125477,0.035689276,0.032291933,0.028934797,0.025619318,0.022347064,0.019119739,0.015939187,0.012807418,0.009726626,0.006699195,0.003727733,0.000815086,-0.002035634,-0.004821031,-0.007537395
15,0.219215534,0.219240852,0.219316705,0.21944279,0.21961859,0.219843349,0.220116046,0.220435354,0.220799587,0.221206642,0.221653922,0.22213825,0.222655767,0.223201816,0.223770821,0.224356141,0.22494994,0.225543039,0.226124795,0.226683004,0.227203849,0.227671918,0.228070303,0.228380818,0.228584327,0.228661199,0.228591881,0.228357544,0.227940773,0.227326261,0.226501401,0.225456798,0.224186576,0.222688512,0.22096398,0.219017692,0.216857316,0.214492967,0.211936661,0.209201751,0.206302398,0.203253099,0.200068296,0.196762063,0.193347879,0.189838466,0.186245696,0.18258054,0.178853067,0.175072452,0.171247025,0.167384312,0.163491098,0.159573484,0.15563695,0.15168641,0.147726271,0.143760485,0.139792596,0.135825785,0.13186291,0.127906544,0.123959008,0.120022399,0.116098621,0.1121894,0.108296318,0.104420827,0.100564267,0.096727874,0.092912814,0.089120175,0.085350994,0.081606263,0.077886938,0.074193954,0.070528228,0.066890672,0.063282201,0.05970374,0.056156234,0.052640654,0.049158006,0.045709341,0.042295762,0.03891843,0.03557858,0.032277525,0.029016667,0.025797511,0.022621675,0.019490899,0.016407064,0.013372204,0.010388518,0.007458392,0.004584413,0.001769386,-0.000983647,-0.003671385,-0.006290253
16,0.21612169,0.216143502,0.216208821,0.216317289,0.2164683,0.216660976,0.21689414,0.217166288,0.217475525,0.217819532,0.218195495,0.21860001,0.219029028,0.219477748,0.219940516,0.220410724,0.220880706,0.221341647,0.221783503,0.222194953,0.222563397,0.222875005,0.223114841,0.223267067,0.22331524,0.223242693,0.223032989,0.222670438,0.222140617,0.221430904,0.220530914,0.219432889,0.218131925,0.216626076,0.214916316,0.213006359,0.210902364,0.208612578,0.206146896,0.203516446,0.20073316,0.197809396,0.194757611,0.191590085,0.188318718,0.184954872,0.181509266,0.17799192,0.17441212,0.17077842,0.167098657,0.163379983,0.159628899,0.155851306,0.152052543,0.148237441,0.144410364,0.140575254,0.136735673,0.132894842,0.129055672,0.125220807,0.12139264,0.117573355,0.11376494,0.109969216,0.10618786,0.102422412,0.098674305,0.094944885,0.091235374,0.087546981,0.083880826,0.080237988,0.076619506,0.0730264,0.06945967,0.065920305,0.062409299,0.058927653,0.055476381,0.052056528,0.048669165,0.045315409,0.041996424,0.038713431,0.035467718,0.032260651,0.029093676,0.025968338,0.022886289,0.019849297,0.016859257,0.01391821,0.011028348,0.008192036,0.00541182,0.002690443,3.08598E-05,-0.002563748,-0.00508996
17,0.212940506,0.212958969,0.213014226,0.21310588,0.213233258,0.213395392,0.213590998,0.213818437,0.214075686,0.21436028,0.214669262,0.214999128,0.215345738,0.21570427,0.216069117,0.216433828,0.216791033,0.217132378,0.217448491,0.217728961,0.217962369,0.218136354,0.218237744,0.218252747,0.218167204,0.217966911,0.217637987,0.217167274,0.216542749,0.215753924,0.214792189,0.213651088,0.212326511,0.210816766,0.209122551,0.207246826,0.205194604,0.202972652,0.200589196,0.198053562,0.195375859,0.192566661,0.189636738,0.18659682,0.183457414,0.180228655,0.176920209,0.173541194,0.170100149,0.166605012,0.163063122,0.159481234,0.155865544,0.152221717,0.148554923,0.144869875,0.141170859,0.137461776,0.133746176,0.130027289,0.126308054,0.122591156,0.118879043,0.115173958,0.111477959,0.107792942,0.104120664,0.100462717,0.096820655,0.093195845,0.089589656,0.086003339,0.082438098,0.078895088,0.075375425,0.071880205,0.068410498,0.064967366,0.06155187,0.058165076,0.054808065,0.05148194,0.048187834,0.044926917,0.041700407,0.038509572,0.035355748,0.032240336,0.029164822,0.026130776,0.023139871,0.020193885,0.017294724,0.014444412,0.011645125,0.008899187,0.006209087,0.003577491,0.001007249,-0.00149859,-0.003936775
18,0.209685369,0.209700656,0.209746379,0.20982211,0.209927132,0.210060417,0.210220607,0.210405987,0.210614449,0.210843455,0.211089989,0.211350508,0.211620889,0.211896369,0.212171491,0.21244005,0.212695046,0.212928651,0.21313219,0.213296155,0.213410242,0.213463436,0.213444139,0.213340306,0.213139752,0.212830301,0.212400194,0.211838334,0.211134635,0.210280327,0.209268221,0.208092919,0.206750961,0.20524088,0.203563186,0.201720272,0.199716251,0.197556739,0.195248617,0.192799756,0.190218763,0.187514724,0.184696977,0.181774915,0.178757822,0.175654742,0.172474375,0.16922501,0.165914475,0.162550113,0.159138771,0.155686801,0.152200078,0.148684015,0.145143588,0.141583363,0.138007526,0.13441991,0.130824026,0.127223089,0.123620042,0.120017589,0.116418211,0.112824195,0.109237648,0.105660518,0.102094615,0.098541626,0.095003127,0.091480606,0.087975439,0.084488982,0.081022499,0.07757721,0.074154302,0.070754932,0.067380234,0.064031333,0.060709349,0.057415407,0.054150641,0.050916209,0.047713294,0.044543113,0.041406926,0.038306044,0.035241833,0.032215726,0.029229234,0.026283944,0.023381539,0.020523799,0.017712616,0.014949999,0.012238085,0.009579148,0.006975608,0.004430039,0.001945178,-0.000476071,-0.002830634
19,0.206368973,0.206381272,0.206418023,0.206478784,0.206562808,0.206669035,0.206796065,0.206942148,0.20710514,0.207282484,0.20747116,0.207667664,0.207867947,0.208067381,0.208260731,0.20844209,0.208604881,0.208741825,0.208844951,0.208905615,0.208914553,0.208861965,0.208737631,0.208531065,0.208231701,0.207829118,0.207313279,0.206674786,0.205905134,0.204996948,0.203944192,0.202742327,0.201388434,0.199881245,0.198221142,0.196410087,0.194451489,0.192350049,0.190111565,0.187742728,0.185250899,0.182643921,0.179929918,0.17711713,0.174213776,0.171227925,0.16816741,0.165039754,0.161852125,0.158611297,0.155323639,0.151995107,0.148631247,0.145237209,0.141817758,0.1383773,0.134919897,0.131449294,0.12796894,0.12448202,0.120991454,0.117499956,0.114010011,0.110523935,0.107043869,0.103571801,0.100109585,0.096658967,0.093221551,0.089798898,0.086392455,0.083003614,0.079633699,0.076283993,0.072955739,0.069650148,0.066368412,0.063111705,0.059881203,0.056678077,0.053503512,0.050358708,0.047244892,0.044163317,0.041115281,0.038102123,0.035125237,0.032186077,0.029286167,0.026427103,0.023610566,0.02083833,0.018112263,0.015434378,0.012806668,0.010231442,0.007711011,0.005247847,0.002844565,0.000503919,-0.001771194
20,0.203003266,0.203012772,0.203041139,0.203087918,0.203152352,0.203233367,0.203329554,0.203439154,0.203560031,0.203689649,0.203825041,0.203962788,0.204098965,0.204229141,0.204348324,0.204450968,0.204530931,0.204581493,0.204595366,0.204564722,0.204481263,0.204336256,0.204120724,0.203825509,0.203441433,0.202959556,0.202371262,0.201668585,0.200844284,0.199892152,0.198807085,0.197585255,0.196224188,0.194722797,0.193081377,0.191301557,0.189386196,0.187339259,0.185165671,0.182871152,0.180462035,0.17794512,0.175327499,0.172616419,0.169819171,0.16694296,0.16399484,0.16098164,0.157909912,0.154785899,0.151615513,0.148404319,0.145157542,0.14188006,0.138576423,0.135250859,0.131907295,0.128549374,0.125180467,0.121803708,0.118421978,0.11503797,0.111654186,0.108272939,0.104896393,0.101526584,0.098165328,0.094814469,0.091475656,0.088150466,0.084840407,0.08154691,0.078271353,0.075015065,0.071779337,0.068565428,0.065374577,0.062208004,0.059066926,0.055952559,0.052866125,0.049808864,0.046782034,0.043786921,0.040824849,0.03789718,0.035005326,0.032150756,0.029334995,0.02655964,0.023826365,0.021136923,0.018493157,0.015897004,0.013350501,0.01085581,0.008415133,0.006030891,0.003705553,0.001441722,-0.000757885
