,Freq,ymove,zmove,xmove,k,L1,L2,R1,R2,sim_eff_max,sim_optimal_load,calc_eff_max,calc_optimal_load
0,6.78,-100,50,-100,-0.0073003859042233,2.16869514912073,3.58047120270995,487.6444186,708.9535674,0.28321011740196894,1.3,0.2808619650690553,1.2627223361504982
1,6.78,-100,50,-50,0.0069368188891964,2.16999308290999,3.5346316859689,487.8982216,660.5654752,0.27617756262636634,1.2000000000000002,0.2739136944956196,1.1589578244196894
2,6.78,-100,50,0,0.0157573754072894,2.16687493465134,3.48527811445557,488.3324364,609.3559473,0.5628995427550567,2.1,0.558153770191737,2.148870359460282
3,6.78,-100,50,50,0.0069871987323351,2.16456234242612,3.4377266173281,489.9822983,560.443697,0.29925539468874685,1.0,0.2967956300576893,1.0335273332027206
4,6.78,-100,50,100,-0.0076048472938695,2.16038088346328,3.38555854254452,489.5087546,509.0346123,0.34059344993824275,1.0,0.33776600892974046,1.028290922673919
5,6.78,-50,50,-100,0.003897660898312,2.17220431854386,3.58155022241889,486.5996028,707.7710154,0.1214587020332697,0.9,0.12044753847750443,0.9016179553837466
6,6.78,-50,50,-50,0.0475590219100723,2.16339059477061,3.53335721083238,488.6700115,662.854243,0.8233922070997027,6.6000000000000005,0.8163916532979597,6.557451967541506
7,6.78,-50,50,0,0.0716333426223174,2.15699142031441,3.48428860971162,489.4404864,610.0093402,0.885136736318504,9.4,0.8776239665834876,9.359415606330266
8,6.78,-50,50,100,0.0036914056126622,2.15294748000794,3.38618355623341,492.0881701,508.3595277,0.13589621743426128,0.7000000000000001,0.1348510848027893,0.6668359069128249
9,6.78,0,50,-100,0.0093967898537192,2.15376866300564,3.59376931471518,487.7100351,708.5703841,0.36661499733663416,1.5,0.3635059095926394,1.5179086823325263
10,6.78,0,50,-50,0.0652889211326503,2.1562016956461,3.55764063061874,488.430924,662.860944,0.870169836817584,9.0,0.8627798176929787,8.998413845985212
11,6.78,0,50,0,0.0939342549805825,2.1609609826647,3.49475139453827,490.3088098,614.4504995,0.9107891995646155,9.9,0.9050324556828852,12.325770371079365
12,6.78,0,50,50,0.0662120132288144,2.1564189084038,3.44254603999705,489.3406045,560.019125,0.880203514163312,8.200000000000001,0.8727305023163014,8.24050472702005
13,6.78,0,50,100,0.0097798432440434,2.16275251505753,3.39098894006828,490.0378953,509.9842291,0.4269273959882225,1.3,0.4233874137994329,1.2589130905384882
14,6.78,50,50,-100,0.0043211568061424,2.16139622528168,3.61402555820268,489.0928041,708.8053112,0.1420032209215848,0.9,0.14088607602470643,0.9412792501587888
15,6.78,50,50,-50,0.0488126885541502,2.15983396824167,3.56579940607408,491.1753278,660.3943462,0.8281780084946223,6.7,0.8211346556993397,6.7238683658648135
16,6.78,50,50,0,0.0733732340933783,2.15650910329271,3.49893361868517,488.8108925,613.0390018,0.8878936801320542,9.600000000000001,0.8803580631013309,9.634855970331964
17,6.78,50,50,50,0.0493267618455426,2.15956436253359,3.44830829584254,490.3418144,560.0863658,0.8403029498322372,6.2,0.8331625500551769,6.154070029964058
18,6.78,50,50,100,0.0041235852204909,2.15152146086939,3.39948419484875,491.1381777,506.3241958,0.16141262165892623,0.7000000000000001,0.16007311063392302,0.6993145382620588
19,6.78,100,50,-100,-0.0069139375564878,2.15869591021538,3.6475645562867,491.1245823,712.269851,0.26648937749826146,1.2000000000000002,0.264254888675902,1.223916581059738
20,6.78,100,50,-50,0.008339690159052,2.16517324502275,3.57527524034978,491.4508889,663.2886796,0.33601267333779156,1.3,0.33318640747289524,1.3261389116590625
21,6.78,100,50,0,0.0176923702789298,2.15183331465333,3.55200396032041,491.6103695,608.9582457,0.6000487269712756,2.4000000000000004,0.59492964576489,2.3977206649296834
22,6.78,100,50,50,0.0083805769233077,2.16585396501114,3.46985844672873,491.1007818,562.8044504,0.3606307204144185,1.2000000000000002,0.3575740125947715,1.1893178529743655
23,6.78,100,50,100,-0.0072702129727723,2.16499210796467,3.39435491674301,489.1155569,507.1387963,0.32710129062271287,1.0,0.32433411757419417,0.9940137984684311
24,6.78,-100,100,-100,0.0003618616393531,2.15041613902565,3.5938853526616,489.504808,711.1871132,0.001325876890922823,0.7000000000000001,0.001315366720633866,0.7130605211401526
25,6.78,-100,100,-50,0.0069823543758067,2.14879095661654,3.55142394872202,492.7304969,658.0914638,0.27646325018974577,1.2000000000000002,0.2742109221604173,1.1553595342748277
26,6.78,-100,100,0,0.0104917228317848,2.15609933726956,3.49482063792342,488.8648645,609.7367558,0.42552646889099,1.5,0.42190459010723264,1.4997308004744974
27,6.78,-100,100,50,0.0070305397727543,2.16614257199528,3.44282562298268,491.1630337,563.322641,0.3003619889301505,1.0,0.29793083537251447,1.041427059975391
28,6.78,-100,100,100,0.000330980005386,2.15757643809469,3.38992242784241,489.9989893,507.5191137,0.0014687681519482204,0.5,0.0014574851397362997,0.5090006761880097
29,6.78,-50,100,-100,0.0062944761936428,2.15504935198163,3.57567558108478,487.1065475,709.879566,0.2365556269561499,1.1,0.2346448504417607,1.1451535291839559
30,6.78,-50,100,50,0.0200493642515364,2.16602829531079,3.43399935449259,490.2392829,559.079252,0.645783795077057,2.6,0.640313116464998,2.5496204398284608
31,6.78,-50,100,100,0.0063700732294693,2.17289921693468,3.38449460755391,489.224561,508.3689568,0.28362553854640105,0.9,0.2812344885240106,0.906192395082511
32,6.78,0,100,-100,0.009120465741413,2.14716673342253,3.67857300806978,492.9410265,708.4141171,0.35809958933127445,1.5,0.3550572844363843,1.4884139112029993
