"Freq","ymove","zmove","xmove","k","L1","L2","R1","R2"
6.78,-100,50,-100,-0.00730038590422337,2.16869514912073,3.58047120270995,487.6444186,708.9535674
6.78,-100,50,-50,0.00693681888919642,2.16999308290999,3.5346316859689,487.8982216,660.5654752
6.78,-100,50,0,0.0157573754072894,2.16687493465134,3.48527811445557,488.3324364,609.3559473
6.78,-100,50,50,0.00698719873233513,2.16456234242612,3.4377266173281,489.9822983,560.443697
6.78,-100,50,100,-0.00760484729386951,2.16038088346328,3.38555854254452,489.5087546,509.0346123
6.78,-50,50,-100,0.00389766089831205,2.17220431854386,3.58155022241889,486.5996028,707.7710154
6.78,-50,50,-50,0.0475590219100723,2.16339059477061,3.53335721083238,488.6700115,662.854243
6.78,-50,50,0,0.0716333426223174,2.15699142031441,3.48428860971162,489.4404864,610.0093402
6.78,-50,50,100,0.00369140561266223,2.15294748000794,3.38618355623341,492.0881701,508.3595277
6.78,0,50,-100,0.00939678985371927,2.15376866300564,3.59376931471518,487.7100351,708.5703841
6.78,0,50,-50,0.0652889211326503,2.1562016956461,3.55764063061874,488.430924,662.860944
6.78,0,50,0,0.0939342549805825,2.1609609826647,3.49475139453827,490.3088098,614.4504995
6.78,0,50,50,0.0662120132288144,2.1564189084038,3.44254603999705,489.3406045,560.019125
6.78,0,50,100,0.00977984324404347,2.16275251505753,3.39098894006828,490.0378953,509.9842291
6.78,50,50,-100,0.00432115680614242,2.16139622528168,3.61402555820268,489.0928041,708.8053112
6.78,50,50,-50,0.0488126885541502,2.15983396824167,3.56579940607408,491.1753278,660.3943462
6.78,50,50,0,0.0733732340933783,2.15650910329271,3.49893361868517,488.8108925,613.0390018
6.78,50,50,50,0.0493267618455426,2.15956436253359,3.44830829584254,490.3418144,560.0863658
6.78,50,50,100,0.00412358522049095,2.15152146086939,3.39948419484875,491.1381777,506.3241958
6.78,100,50,-100,-0.00691393755648782,2.15869591021538,3.6475645562867,491.1245823,712.269851
6.78,100,50,-50,0.00833969015905204,2.16517324502275,3.57527524034978,491.4508889,663.2886796
6.78,100,50,0,0.0176923702789298,2.15183331465333,3.55200396032041,491.6103695,608.9582457
6.78,100,50,50,0.00838057692330779,2.16585396501114,3.46985844672873,491.1007818,562.8044504
6.78,100,50,100,-0.0072702129727723,2.16499210796467,3.39435491674301,489.1155569,507.1387963
6.78,-100,100,-100,0.000361861639353175,2.15041613902565,3.5938853526616,489.504808,711.1871132
6.78,-100,100,-50,0.00698235437580676,2.14879095661654,3.55142394872202,492.7304969,658.0914638
6.78,-100,100,0,0.0104917228317848,2.15609933726956,3.49482063792342,488.8648645,609.7367558
