distance,iout,vout,vin,iin
50,0.2,2.78,10.9,0.508
50,0.3,2.78,10.9,0.516
50,0.4,2.76,10.9,0.520
50,0.5,2.75,10.9,0.518
50,0.542,2.53,10.9,0.516
