y,0,5,10,15,20,25,30,35,40,45
45,0.123434521,0.123222054,0.12255225,0.121331036,0.119413758,0.11662782,0.112807873,0.107836578,0.101675636,0.094373092
46,0.120827235,0.120624292,0.119984512,0.118817811,0.116984858,0.114317563,0.110651619,0.105865361,0.099911132,0.092825217
47,0.118273023,0.118078878,0.117466878,0.116350782,0.114596482,0.112040554,0.108520298,0.103910669,0.098155651,0.091280468
48,0.115771543,0.115585529,0.114999248,0.113930147,0.112249224,0.10979782,0.106415325,0.101974161,0.096410917,0.089740469
49,0.113322368,0.113143874,0.112581416,0.111555979,0.109943529,0.107590226,0.104337949,0.100057352,0.094678539,0.088206764
50,0.110924996,0.110753463,0.110213087,0.109228239,0.107679709,0.105418485,0.102289266,0.098161617,0.092960015,0.086680821
51,0.108578862,0.108413775,0.107893883,0.106946789,0.105457953,0.103283169,0.100270222,0.096288193,0.091256732,0.085164024
52,0.106283343,0.106124232,0.105623354,0.104711401,0.103278339,0.101184722,0.098281629,0.094438187,0.089569963,0.083657674
53,0.104037769,0.103884203,0.103400989,0.102521769,0.101140846,0.099123468,0.096324167,0.09261258,0.087900876,0.082162988
54,0.101841428,0.101693011,0.101226224,0.100377514,0.099045365,0.097099624,0.094398397,0.090812232,0.08625053,0.0806811
55,0.099693576,0.099549945,0.099098446,0.098278201,0.096991706,0.09511331,0.092504769,0.089037891,0.084619883,0.079213058
56,0.097593436,0.097454258,0.097017003,0.096223339,0.094979609,0.093164553,0.090643629,0.087290196,0.08300979,0.077759829
57,0.095540211,0.095405182,0.094981209,0.094212388,0.093008751,0.091253303,0.088815228,0.085569687,0.081421014,0.076322298
58,0.093533083,0.093401923,0.092990352,0.092244773,0.091078751,0.089379435,0.087019731,0.083876809,0.079854224,0.07490127
59,0.09157122,0.091443672,0.091043694,0.090319882,0.089189183,0.087542761,0.085257222,0.082211919,0.078310003,0.073497471
60,0.089653779,0.089529608,0.089140478,0.088437073,0.087339576,0.085743031,0.083527712,0.08057529,0.076788851,0.072111553
61,0.087779909,0.087658899,0.087279933,0.086595682,0.085529422,0.083979947,0.081831147,0.078967122,0.07529119,0.070744098
62,0.085948753,0.085830707,0.085461275,0.084795023,0.083758182,0.082253162,0.080167413,0.077387545,0.073817368,0.069395616
63,0.084159454,0.084044189,0.083683715,0.083034395,0.082025289,0.080562291,0.078536341,0.075836621,0.072367664,0.068066551
64,0.082411154,0.082298502,0.081946454,0.081313085,0.080330154,0.078906913,0.076937715,0.074314359,0.070942294,0.066757284
65,0.080702996,0.080592806,0.080248694,0.079630368,0.078672167,0.077286573,0.075371275,0.072820707,0.069541414,0.065468138
66,0.079034129,0.078926259,0.078589633,0.077985514,0.077050704,0.075700795,0.073836721,0.071355571,0.068165123,0.064199377
67,0.077403707,0.077298027,0.076968474,0.076377788,0.075465128,0.074149075,0.072333722,0.069918807,0.066813471,0.062951215
68,0.075810891,0.075707281,0.075384419,0.074806453,0.073914794,0.072630892,0.070861914,0.068510234,0.065486458,0.061723814
69,0.074254849,0.074153201,0.073836677,0.073270772,0.072399046,0.071145709,0.069420909,0.067129634,0.064184042,0.060517289
70,0.072734759,0.072634972,0.072324464,0.07177001,0.070917227,0.069692975,0.068010293,0.065776756,0.062906142,0.059331713
71,0.07124981,0.071151791,0.070847,0.070303433,0.069468674,0.068272128,0.066629636,0.064451321,0.061652641,0.05816712
72,0.069799201,0.069702865,0.069403515,0.068870315,0.068052727,0.066882601,0.065278489,0.063153025,0.060423386,0.057023503
